PERCENT_WAITING_OVER_THIRTY_MINUTES,CND_POLL_UUID,NAME,STATE,COUNTY_NAME,SLATED_FOR_CLOSURE_IN_GA
13.1745,987dcc9b4477357fd7ebb602a559b570,ADVANCE/EARLY VOTING/REGISTRAR OFFICE,GA,PIKE,False
7.3359,a0f3dfff62b805695c538bb8070943f0,ELECTION OFFICE,GA,MCINTOSH,False
44.0613,1c6ed96cf60ddeeab0a924e48e9668f4,ABSENTEE,GA,UNION,False
62.2642,91d87dae582815f01e683bfaaf401ac6,AA - BUCKHEAD LIBRARY,GA,FULTON,False
46.04810000000001,7b95bf0c156613dafe1dcd67583d2cba,HONEY BOWEN BLDG,GA,BULLOCH,True
64.63409999999999,18b25872eb26a30211d4f09d32b375f4,COAL MOUNTAIN PARK COMMUNITY BUILDING,GA,FORSYTH,True
19.6721,a60d9ed511feea5b987e9ad3ce13e9d7,BRANTLEY CO. ELECTIONS,GA,BRANTLEY,False
12.8205,9d11253a5b6514b73678453e4c703674,CHATTOOGA COUNTY REGISTRARS OFFICE,GA,CHATTOOGA,False
41.97,132edc007f2b3c3c6826f352ee0a81ad,JASPER COUNTY COURTHOUSE,GA,JASPER,False
25.6039,ddf931a6ac970d364d542b21eb282754,AIP/EV MAIN ELECTIONS OFFICE,GA,BROOKS,False
47.1429,fcf145bf1edde7c2c25004422f0b99f8,ELECTIONS OFFICE,GA,WILKINSON,False
51.35140000000001,fba1dfec7d728a30a345188b3356ded8,AA - PONCE DE LEON LIBRARY,GA,FULTON,False
40.5405,5b3da951719df48d967f9bc7812d7988,WARREN RD RECREATION CENTER,GA,RICHMOND,False
2.8169,6bdd6c64dd0722f672a241998c9123eb,NORTH HALL COMMUNITY CENTER,GA,HALL,False
52.6316,589c1db6c80ad1ff4b89546fc4b56ae0,AA - CHASTAIN PARK GYMNASIUM,GA,FULTON,False
41.3333,8bfd689ed215ef54bf0f7a8ef3e49b87,AA - DOROTHY BENSON SENIOR MULTIPURPOSE,GA,FULTON,False
15.0,88dfdc4b4e563ead1879f73d42d4e9f4,MAUNEY BUILDING,GA,WHITE,False
37.5748,f30c2acd30657017f0b017f751051ee6,AA - ALPHARETTA BRANCH LIBRARY,GA,FULTON,False
27.2727,bf5b9d93d851f3d435bf6fa3e0dbd8e1,BOARD OF ELECTIONS,GA,CRAWFORD,False
4.4776,3d742abc2f6337e842eed168b203fa1b,BOARD OF ELECTIONS,GA,OGLETHORPE,False
63.7339,993dac8d6db7a5343aa75c3ba88c4b8b,AV-SOUTH DEKALB,GA,DEKALB,False
75.87129999999998,9f519ca0f243d97e51ac60c11e7e095d,VIRGINIA BURTON GRAY RECREATION CTR,GA,CLAYTON,False
55.2,fe74a235f8d051288a70590025336b9d,ROME CIVIC CENTER,GA,FLOYD,True
17.708299999999994,4cd839e94188e28f97073ae825bb3954,COURTHOUSE ANNEX,GA,DECATUR,False
36.3036,9b7f97fa05f861b52c0aaff07b1be52c,AV-DECATUR AGNES SCOTT COLLEGE,GA,DEKALB,False
42.2222,0f18fbe5bbb757bd7c84cb08d2401248,ROBERT HOWARD CC/DIAMOND LAKES,GA,RICHMOND,False
44.4444,dfe9a39d96d6eadad8e1de30461191b1,NOWELL RECREATION CENTER,GA,WALTON,False
8.046000000000001,c4c06b940da9a72d26aae948bec03eab,AA - PALMETTO LIBRARY,GA,FULTON,False
67.88149999999999,d209be55716a12df28e4db3e81deae69,DIANNE WRIGHT INNOVATION CENTER,GA,PAULDING,True
44.4444,6855e2722523146f691c0ed88e14562b,0730-OLD COURTHOUSE,GA,DOUGLAS,False
59.1065,53842752ff321296e95be560310b32d7,4 SOUTH- RIVERSIDE EPICENTER,GA,COBB,False
24.2389,dd7acdfc05452ee39a1e20beb6362d7e,TOOMBS COUNTY ADVANCE VOTING LOCATION,GA,TOOMBS,False
72.7403,53c19a3991ee151c8d104a474e26f449,BULLOCH COUNTY ANNEX,GA,BULLOCH,False
56.3526,de1a5842d0f56fa95ba29a43e1e61ade,AA - MILTON LIBRARY,GA,FULTON,False
58.3082,fc032b4106b70997f2eb73ac09e7e051,SOUTHWEST LIBRARY,GA,CHATHAM,False
39.5833,92b47b4b5991a14dea89d7df877034ee,SPRINGFIELD BAPTIST CHURCH,GA,ROCKDALE,False
66.8531,83e64de5857ed672a918d463a371274d,"COLUMBIA COUNTY BOARD OF ELECTIONS, BUILDING G3",GA,COLUMBIA,False
78.1859,08aa21f8673876612e6f76cb4e6ac1ab,CENTRAL GA TECH HEALTH SCIENCES BLDG,GA,HOUSTON,False
44.0,b8cbc47997c7716561615d727875b2a9,COURTHOUSE ANNEX,GA,EVANS,False
43.9516,bb71f8ca4df3b65a842b8f40eb57b70f,JEFF DAVIS COUNTY COURTHOUSE,GA,JEFF DAVIS,False
68.9904,fc527c76855348e718715f5a877f79b3,1 MAIN OFFICE,GA,COBB,False
34.2975,08399bfd8cee1419bdfd0c06f2e99c1f,CIVIC CENTER,GA,UPSON,False
16.0643,10c28758a2599e22d0be049b067fbe71,AA- HIGH MUSEUM OF ART,GA,FULTON,False
45.0216,de8db1046da95b654525181c5a78074b,AA - OCEE LIBRARY,GA,FULTON,False
9.9734,021ac28bc50747c6f55150eff6a91fa9,GEORGE PIERCE PARK COMMUNITY RECREATION CENTER,GA,GWINNETT,False
